CD_CAUSALE_COGE,DS_CAUSALE,TI_CAUSALE_COGE,UTCR,UTUV,PG_VER_REC
"AMMORTAMENTO","Ammortamento","A","SYSTEM","SYSTEM","1"
"ANNULLAMENTO_DOC_ESERCIZIO_CHIUSO","Annullamento (congelamento) di documento amministrativo di esercizio chiuso","A","SYSTEM","SYSTEM","1"
"CHIUSURA_CONTO_ECONOMICO","Chiusura del conto economico","A","SYSTEM","SYSTEM","1"
"CHIUSURA_STATO_PATRIMONIALE","Chiusura dello stato patrimoniale","A","SYSTEM","SYSTEM","1"
"DETERMINAZIONE_UTILE_PERDITA","Determinazione utile/perdita d'esercizio","A","SYSTEM","SYSTEM","1"
"DISMISSIONE_BENE_DUREVOLE","Dismissione di bene durevole","A","SYSTEM","SYSTEM","1"
"PERDITE_SU_CAMBI","Perdite su cambi per crediti/debiti","A","SYSTEM","SYSTEM","1"
"RATEI","Ratei","A","SYSTEM","SYSTEM","1"
"RATEI_P2","Ratei parte 2","A","SYSTEM","SYSTEM","1"
"RIAPERTURA_CONTI","Riapertura dei conti","A","SYSTEM","SYSTEM","1"
"RISCONTI","Risconti","A","SYSTEM","SYSTEM","1"
"RISCONTI_P2","Risconti parte 2","A","SYSTEM","SYSTEM","1"
"UTILE_SU_CAMBI","Utile su cambi per crediti/debiti","A","SYSTEM","SYSTEM","1"
"PAGAMENTO_1210","Pagamento documento con modulo 1210","A","SYSTEM","SYSTEM","1"
"CASSA_BANCA","Scrittura cassa banca","A","SYSTEM","SYSTEM","1"
"LIQUID_IVA_VENDITE","Liquidazione IVA vendite","A","SYSTEM","SYSTEM","1"
"LIQUID_IVA_ACQUISTI","Liquidazione IVA acquisti","A","SYSTEM","SYSTEM","1"
"LIQUID_IVA_SALDO","Liquidazione IVA saldo versato","A","SYSTEM","SYSTEM","1"
"CARICO_BENE_DUREVOLE","Carico di bene durevole","A","SYSTEM","SYSTEM","1"
"MIGRAZIONE_BENI","Migrazione beni durevoli","A","SYSTEM","SYSTEM","1"
"DISMISSIONE_BENE_DUREVOLE_TRASF","Dismissione di bene durevole da trasferimento","A","SYSTEM","SYSTEM","1"
"CARICO_BENE_DUREVOLE_TRASF","Carico di bene durevole da trasferimento","A","SYSTEM","SYSTEM","1"
"ANNULLAMENTO_RIGHE_DOC_ESERCIZIO_CHIUSO","Annullamento di righe di documento amministrativo di esercizio chiuso","A","SYSTEM","SYSTEM","1"
"RATEI_QUOTA","Ratei (competenza parzialmente in esercizio precedente)","A","SYSTEM","SYSTEM","1"
"RATEI_QUOTA_P2","Ratei parte 2 (competenza parzialmente in esercizio precedente)","A","SYSTEM","SYSTEM","1"
