CD_CLASSIFIC_ANAG,DS_CLASSIFIC_ANAG,UTCR,UTUV,PG_VER_REC
"SRL","Societa' responsabilita' limitata","SYSTEM","SYSTEM","1"
"ORG","ORGANO COMUNITARIO","SYSTEM","SYSTEM","1"
"ENTE.PUBBL","Ente pubblico","SYSTEM","SYSTEM","1"
"P.F.","Persona fisica","SYSTEM","SYSTEM","1"
"CONSORZIO","Consorzio","SYSTEM","SYSTEM","1"
"CNR","Strutture CNR","SYSTEM","SYSTEM","1"
"EELL","Enti Locali","SYSTEM","SYSTEM","1"
"FOND","Fondazione","SYSTEM","SYSTEM","1"
"SOC.PERS.","Societa' di persone","SYSTEM","SYSTEM","1"
"SOC.CAP.","Societa' di capitali","SYSTEM","SYSTEM","1"
"SOC.SEMPL.","Societa' semplice","SYSTEM","SYSTEM","1"
"SCARL","Societa' cooperativa a resp. lim.","SYSTEM","SYSTEM","1"
"MINISTERO","Amministrazione statale","SYSTEM","SYSTEM","1"
"INTERNAZ.","Organismo internazionale","SYSTEM","SYSTEM","1"
"UNI","Universita'","SYSTEM","SYSTEM","1"
