CD_ATTIVITA_INPS,DS_ATTIVITA_INPS,FL_CANCELLATO,UTCR,UTUV,PG_VER_REC
"01","ATTIVITA' DI TRADUZIONE E INTERPRETARIATO","N","SYSTEM","SYSTEM","1"
"02","ATTIVITA' DI TRASPORTI O SPEDIZIONI O RECAPITI","N","SYSTEM","SYSTEM","1"
"03","ATTIVITA' NEL CAMPO IMMOBILIARE","N","SYSTEM","SYSTEM","1"
"04","ATTIVITA' NEL CAMPO ASSICURATIVO","N","SYSTEM","SYSTEM","1"
"05","ATTIVITA' DI FORMAZIONE, ISTRUZIONE, ADDESTRAMENTO","N","SYSTEM","SYSTEM","1"
"06","ATTIVITA' DI RECUPERO CREDITI, INTERMEDIAZIONE, NOTIFICA ATTI","N","SYSTEM","SYSTEM","1"
"07","ATTIVITA' NEL SETTORE DELLA MODA","N","SYSTEM","SYSTEM","1"
"08","SOCIO LAVORATORE DI COOPERATIVA","N","SYSTEM","SYSTEM","1"
"09","CONSULENZA AZIENDALE","N","SYSTEM","SYSTEM","1"
"10","CONSULENZA FISCALE","N","SYSTEM","SYSTEM","1"
"11","ATTIVITA' AMMINISTRATIVO, CONTABILE","N","SYSTEM","SYSTEM","1"
"12","ATTIVITA' INFORMATICA","N","SYSTEM","SYSTEM","1"
"13","ATTIVITA' FINANZIARIA","N","SYSTEM","SYSTEM","1"
"14","ATTIVITA' PER MOSTRE, MERCATI, FIERE, VETRINE, ECC.","N","SYSTEM","SYSTEM","1"
"15","ATTIVITA' NEL SETTORE DELL'IGIENE E DELLA SALUTE E SICUREZZA","N","SYSTEM","SYSTEM","1"
"16","ATTIVITA' DI MARKETING, PUBBLICITA' E STATISTICA","N","SYSTEM","SYSTEM","1"
"17","ATTIVITA' DIVERSA DALLE PRECEDENTI","N","SYSTEM","SYSTEM","1"
"18","ATTIVITA' NEI CALL CENTER (msg. n.4148 del 13/02/2007)","N","SYSTEM","SYSTEM","1"
"19","LAVORATORI EX LSU UTILIZZATI NEGLI ISTITUTI SCOLASTICI E STABILIZZATI CON CONTRATTI DI COLLABORAZIONE COORDINATA E CONTINUATIVA","N","SYSTEM","SYSTEM","1"
