CD_TERZO,CD_MODALITA_PAG,UTCR,UTUV,PG_VER_REC
"1","BO","SYSTEM","SYSTEM","1"
"1","RD","SYSTEM","SYSTEM","1"
"10","BO","SYSTEM","SYSTEM","1"
"11","BO","SYSTEM","SYSTEM","1"
"12","BO","SYSTEM","SYSTEM","1"
"13","BO","SYSTEM","SYSTEM","1"
"14","BO","SYSTEM","SYSTEM","1"
"15","BO","SYSTEM","SYSTEM","1"
"16","F24EP","SYSTEM","SYSTEM","1"
"17","F24EP","SYSTEM","SYSTEM","1"
"18","F24EP","SYSTEM","SYSTEM","1"
"2","STIPENDI","SYSTEM","SYSTEM","1"
"3","BO","SYSTEM","SYSTEM","1"
"4","F24EP","SYSTEM","SYSTEM","1"
"5","F24EP","SYSTEM","SYSTEM","1"
"6","F24EP","SYSTEM","SYSTEM","1"
"7","F24EP","SYSTEM","SYSTEM","1"
"8","BO","SYSTEM","SYSTEM","1"
"9","BO","SYSTEM","SYSTEM","1"
